故障代码,故障信息,故障原因,解决方案,故障类型
208,制动泵无压力,当液压制动开关调整没有反馈时，产生故障代码,"1.检查制动器液压油位、压力传感器供电及反馈信号
2.将+NCC310柜门上开关打到手动，手动反复启动制动器，同时测量制动器反馈24VDC信号，制动器打开时，应有反馈24VDC信号。
3.检查制动器压力开关反馈信号接线，通常为棕色线brown: +TB300-X222.3:3 / 蓝色线blue: +TB300-X222.3:2 / 黑色线black: +TB300-X222.3:4。有时候反馈线的延时不是黑色，可能是白色。
4.如果雷雨天气导致，可能是压力开关受雷击损坏，建议更换并及时做好防雷技改和零地分离技改。
5.更换防雷能力强的制动器压力传感器。",保险
209,保险或直流电源接地,当400V断路器F200.2断开无反馈给主PLC时，产生故障代码,"1.检查F200.2空开是否断开或损坏，如果跳开，检查空开下端是否有接地点。
2.检查F200.2空开反馈是否有问题。
3.如果空开跳开，检查变桨变频器＋＋端口与PB间的制动电阻是否有问题。
4.如果空开跳开，检查变桨控制柜间电源线是否有问题。
5.如果空开跳开，检查蓄电池是否正常。   ",保险
210,NCC310控制柜急停按钮,当NCC310柜的急停按钮S230.2打开时，产生故障代码,"1.检查NCC310柜急停按钮是否拍下。
2.检查急停按钮反馈回路24Vdc是否正常。
3.检查急停及急停反馈线路是否正常。",保险
211,CTB300齿轮箱控制柜急停按钮,当CTB300齿轮箱的急停按钮S232.3或S232.5打开时，产生故障代码,"1.检查齿轮箱急停按钮是否拍下。
2.检查急停按钮反馈回路24Vdc是否正常。
3.检查急停及急停反馈线路是否正常。",保险
212,TBC100塔基控制柜急停按钮,当TBC100柜的急停按钮打开时，产生故障代码,"1.检查塔基柜急停按钮是否拍下。
2.检查急停按钮反馈回路24Vdc是否正常。
3.检查急停及急停反馈线路是否正常。",保险
213,网测变频器滤波器保险打开,当网测变频器滤波器保险打开时，产生故障代码,"1.检查滤波回路保险及反馈信号是否正常。可能是1欧滤波电阻烧坏引起保险烧坏。更换滤波电阻时必须均匀涂抹导热硅胶，且固定螺丝必须拧紧（原先梅花螺丝不易拧紧，建议使用内六角螺丝紧固）。
2.如果仅仅是反馈信号出问题，滤波保险正常，建议将该反馈信号去除（017[1].0034.02B版图纸开始已经不检测该反馈信号）。",保险
214,备用,备用,,
215,备用,备用,,
216,备用,备用,,
217,备用,备用,,
218,备用,备用,,
219,备用,备用,,
220,备用,备用,,
221,备用,备用,,
222,备用,备用,,
223,备用,备用,,
224,箱变温度过高或过低,当箱变滤波温度大于155℃或小于-20℃时，产生故障代码,"1.检查系统接收的箱变绕组温度信号是否使用100欧电阻替代，若是，检查电阻接线是否正常。若否，检查箱变实际反馈的信号是否正常。
2.检查测温回路浪涌是否正常。 ",温度
225,环境温度过高,当环境温度滤波值超过50℃时，产生故障代码,"1.检查环境PT100及其线路是否正常。
2.如果使用Thies风速仪测量环境温度，建议技改为外接PT测温。
3.如果已经技改为外接PT测温，检查程序中是否设置为外接PT测温。",温度
226,网侧滤波板温度过高,当网侧滤波板温度滤波值超过100℃时，产生故障代码,"1.检查水循环，包括水阀是否畅通，排气是否彻底，水压是否正常。
2.如果水循环没有问题，检查滤波板中1欧姆电阻排布是否分散。
3.检查PT100测温是否与实际温度一致。
4.更换滤波板。",温度
227,网测扼流圈温度过高,当网测扼流圈温度滤波值超过155℃时，产生故障代码,"1.检查PT100测温与实际温度是否相符。
2.检查PT100测温回路是否松动。
3.如果温度确实高，检查NCC320柜内风扇及水冷循环是否正常。",温度
228,机侧扼流圈温度过高,当机侧扼流圈温度滤波值超过155℃时，产生故障代码,温度,温度
229,频率超出限制范围,当实际频率大于或者小于设定值时，产生故障代码,温度,温度
230,没有选择设备类型,PLC检测到机组器件类型选择不全,1.检查机组叶片、发电机、变桨减速比、风速仪等部件类型是否设置完毕。,温度
231,备用,备用,,
232,备用,备用,,
233,备用,备用,,
234,备用,备用,,
235,备用,备用,,
236,备用,备用,,
237,备用,备用,,
238,备用,备用,,
239,备用,备用,,
240,自检时，功率变频器关断时间超时,当自检状态下变频器关断时间超时，产生故障代码,状态机,状态机
241,自检时，轮毂没有到达停止状态,当自检状态下轮毂关断时间超时，产生故障代码,,状态机
242,自检时，机舱寻找零位置时间超时,机舱初始化状态偏航寻找零位超过24000秒,"1.检查凸轮开关反馈信号线路是否松动。
2.检查凸轮开关工作是否正常。",状态机
243,齿轮箱加热超时,当齿轮箱加热时间超过12小时时，产生故障代码,"1.检查齿轮箱加热回路线路是否正常。
2.检查齿轮箱加热器是否正常。",状态机
244,自检时，功率变频器Crowbar错误,当自检状态下变频器Crowbar测试失败时，产生故障代码,"1.检查crowbar到电机侧变频器的通讯光纤是否损坏（如：出现严重压痕等）；
2.检查Crowbar单元线路是否松动；
3.更换Crowbar控制器。",状态机
245,自检时，变桨变频器错误电池电压错误,当自检状态下任何一个变桨变频器电压和电池电压的差值超过设定值时，产生故障代码,"1.检查变桨子故障；
2.检查主电源断电时，电池电压是否波动很大。",状态机
246,自检时，变桨到达指定位置超时,当自检状态下变桨达到指定位置超时时，产生故障代码,"1.检查变桨扭矩是否正常；
2.检查是否有变桨子故障；
3.使用手动变桨操作盒变桨，检查是否正常。",状态机
247,自检时，安全链打开时桨叶不能回到顺桨位置,当自检状态下安全链断开桨叶不能回到顺桨位置时，产生故障代码,"1.检查动作时间是否正常，如果刹车制动时间很慢，检查刹车液压油是否有问题，如是否用错液压油，把齿轮油当液压油使用。
2.检查制动器传感器安装位置是否正确（正确的为长杆在中间，图纸代号为S222.6；短杆在旁边且有附件杆，图纸代号为S222.7）。
3.bachmann简版机组程序问题，更新PLC程序到C14.143 20120427之后版。
4.更换传感器或制动器",状态机
248,自检时，刹车没有关闭,当自检状态下刹车没有关闭时，产生故障代码,"1.检查制动器传感器安装位置是否正确（正确的为长杆在中间，图纸代号为S222.6；短杆在旁边且有附件杆，图纸代号为S222.7）。
2.检查刹车传感器反馈信号是否正常；
3.检查刹车动作是否正常；
4.bachmann简版机组程序问题，更新PLC程序到C14.143 20120427之后版。
5.更换传感器或制动器",状态机
249,自检时，发电机转速问题,当自检状态下发电机转速过高或过低时，产生故障代码, ,状态机
250,自检时，刹车启动后，发电机转速不为0,当自检状态下刹车启动后发电机转速不为0时，产生故障代码,"1.检查编码器固定是否正常；
2.检查自检时机械刹车是否能够完全制动；
3.检查编码器外接电缆屏蔽线接地电阻是否小于0.3欧（PM1000机组）；
4.检查编码器外壳对地电阻，正常为无穷大；
5.检查编码器至变频器间通讯线及插头是否松动或工作异常；
6.检查变频器测速版是否正常。
7.检查发电机编码器及固定是否有问题，天元电机早期使用的小编码器安装工艺有问题，建议更换为永济电机使用的大编码器（莱纳林德厂家）。",状态机
251,自检时，叶片没有顺浆,初始化轮毂在35秒内未达到停止状态,"1.检查变桨状态是否变化正常。
2.检查接近开关安装距离及反馈信号是否正常。
3.检查是否滑桨。
4.如果划桨，检查变桨制动器供电继电器是否损坏，检查变桨电机刹车扭矩是否满足要求。",状态机
252,自检时，电池未检测到电网掉电,当自检状态下电池未检测到电网掉电时，产生故障代码,"1.检查变桨电源控制接触器K210.2控制回路、反馈回路是否正常；
",状态机
253,自检时，变桨轴承摩擦力过大,当自检状态下任何一个变桨轴承的摩擦力超过限定值时，产生故障代码,"1.检查变桨扭矩是否正常
2.使用手动变桨操作盒变桨，检查是否正常。
3.变桨轴承增加变桨润滑油。",状态机
254,备用,备用,,
255,备用,备用,,
256,PLC故障状态快速停机超高速限值,当PLC故障状态下快速停机时，停机时间超过30s以上转速仍然超过1000rpm，产生故障代码,"1.检查变桨扭矩。
2.检查变桨轴承润滑。",停止类
257,PLC故障状态快速停机超低速限值,当PLC故障状态下快速停机时，停机时间超过60s以上转速仍然超过150rpm，产生故障代码,"1.检查变桨扭矩。
2.检查变桨轴承润滑。",停止类
258,拍急停全速停机时，停机超高速限值,当拍急停全速停机时，停机时间超过15s以上转速仍然超过1000rpm，产生故障代码,"1.检查变桨扭矩。
2.检查变桨轴承润滑。",停止类
259,拍急停全速停机时，停机超低速限值,当拍急停全速停机时，停机时间超过30s以上转速仍然超过150rpm，产生故障代码,"1.检查变桨扭矩。
2.检查变桨轴承润滑。",停止类
260,安全链打开停机时，停机超高速限值,当安全链打开停机时，停机时间超过15s以上转速仍然超过1000rpm，产生故障代码,"1.检查变桨扭矩。
2.检查变桨轴承润滑。",停止类
261,安全链打开停机时，停机超低速限值,当安全链打开停机时，停机时间超过30s以上转速仍然超过150rpm，产生故障代码,"1.检查变桨扭矩。
2.检查变桨轴承润滑。",停止类
262,备用,备用,,
263,备用,备用,,
264,备用,备用,,
265,备用,备用,,
266,备用,备用,,
267,备用,备用,,
268,备用,备用,,
269,备用,备用,,
270,备用,备用,,
271,备用,备用,,
272,主P检测到从P通讯错误,当主PLC检测到主从PLC通讯错误时，产生故障代码,"1.如果与Err274故障同时产生，可能问题出在主PLC，检查主PLC及通讯是否正常（如：IP地址、网线连接等）。
2.重启主PLC或给主PLC断电。
3.检查从站PLC供电是否正常。
4.检查从站PLC IP地址是否正常。
5.检查从站PLC到交换机之间的网线是否正常。",看门狗
273,从P检测到从P通讯错误,当从PLC检测到主从PLC通讯错误时，产生故障代码,"1.断电或重启从站PLC。
2.如果从站PLC的FK1、FK2、FK3指示灯亮，断电或重启后不管用，更换PLC。
3.检查从站PLC供电及PLC至交换机之间的网线连接是否正常。
4.重新设定从站PLC的IP地址。
5.更换从站PLC。",看门狗
274,塔基PLC通讯错误,当主PLC检测到主PLC与塔基PLC通讯错误时，产生故障代码,"1.如果与Err233故障同时产生，可能问题出在主PLC，检查主PLC及通讯是否正常（如：IP地址、网线连接等）。
2.如果与Err233故障同时产生，可以重启主PLC或给主PLC断电。
3.检查塔基PLC供电是否正常。
4.检查机舱到塔基的光纤是否正常，正常的光纤能够传输光线。
5.检查塔基PLCIP地址是否正常。",看门狗
275,NCC310的数字量输入模块通信错误,数字量DI92模块A260.3-E11.15（IDigLiv）收不到反馈信号,"1.检查数字量模块A260.3-E11.15（IDigLiv）端口供电是否正常。
2.检查数字量模块电源供电是否正常。
3.检查PLC A240.3-X5端口至数字量模块X1端口的CS31-bus通讯线路是否正常。",看门狗
276,风速风向仪通讯错误,当主PLC检测到风速风向仪通讯时，产生故障代码,看门狗,看门狗
277,变频器通信复位错误,PLC与变频器CAN通讯发生故障,"1.如果与Err23一起报且Err23能复位，但Err4只有断电或重启PLC才能复位，可以重新下载或更换主PLC的CAN-Open协议。
2.检查变频器至PLC的CAN通讯接口之间线路、器件是否松动。
3.更换主PLC。",看门狗
278,变频器的多路转换器通讯错误,状态机不在PLC停止状态、PLC初始化状态、PLC自检状态或变频器复位状态时，变频器与主PLC之前通讯中断。,"1.检查变频器至CAN-spider之间的光纤连接是否正常，CAN-spider（NCC310-A293.2）上通讯光纤正常有一个口有光。
2.检查CAN-spider至PLC之间的CAN通讯线及终端电阻是否正常。
3.检查变频器上电源板指示灯是否正常、变频器供电电源是否正常，如NCC310-F352.4熔丝、网侧接触器K340.4辅助触点是否正常。
4.检查主站PLC的CAN-Open协议是否正常，下载PLC的CAN协议时需要PLC处于Stop模式（可以通过AC1131登入后点击Stop或将PLC右上方的拨码拨到Stop位置）。
5.如果与Err80等变频故障一起报出，检查变频器是否存在问题。",看门狗
279,变桨柜1通讯错误,变桨1变频器与PLC间通讯中断,"1.如有变桨子故障，参考变桨故障处理手册。
2.如果Lenze系统做Crowbar测试报，检查Crowbar测试时，24V电源是否下降很大（如：降到13V左右），导致变桨变频器电源瞬间供电不足。
3.如果一偏航就报，检查偏航启动时，变桨通讯线缆CAN—H与CAN—L间的电阻跳变，正常为120欧姆。如果跳变，分段检查问题产生点。
4.检查轮毂内控制柜之间的电缆是否固定良好（扎带固定好，不会来回甩动）。
5.检查PLC的CAN通讯接口到偏航变频器CAN口、变桨1变频器CAN之间的线路是否松动。
6.检查偏航变频器、变桨变频器CAN插头上的屏蔽线是否连接正常。",看门狗
280,变桨柜2通讯错误,变桨2变频器与PLC间通讯中断,"1.如有变桨子故障，参考变桨故障处理手册。
2.如果Lenze系统做Crowbar测试报，检查Crowbar测试时，24V电源是否下降很大（如：降到13V左右），导致变桨变频器电源瞬间供电不足。
3.如果一偏航就报，检查偏航启动时，变桨通讯线缆CAN—H与CAN—L间的电阻跳变，正常为120欧姆。如果跳变，分段检查问题产生点。
4.检查轮毂内控制柜之间的电缆是否固定良好（扎带固定好，不会来回甩动）。
5.检查PLC的CAN通讯接口到偏航变频器CAN口、变桨2变频器CAN之间的线路是否松动。
6.检查偏航变频器、变桨变频器CAN插头上的屏蔽线是否连接正常。",看门狗
281,变桨柜3通讯错误,变桨3变频器与PLC间通讯中断,"1.如有变桨子故障，参考变桨故障处理手册。
2.如果Lenze系统做Crowbar测试报，检查Crowbar测试时，24V电源是否下降很大（如：降到13V左右），导致变桨变频器电源瞬间供电不足。
3.如果一偏航就报，检查偏航启动时，变桨通讯线缆CAN—H与CAN—L间的电阻跳变，正常为120欧姆。如果跳变，分段检查问题产生点。
4.检查轮毂内控制柜之间的电缆是否固定良好（扎带固定好，不会来回甩动）。
5.检查PLC的CAN通讯接口到偏航变频器CAN口、变桨3变频器CAN之间的线路是否松动。
6.检查偏航变频器、变桨变频器CAN插头上的屏蔽线是否连接正常。",看门狗
282,备用,备用,看门狗,看门狗
283,备用,备用,看门狗,看门狗
284,备用,备用,看门狗,看门狗
285,备用,备用,看门狗,看门狗
286,备用,备用,看门狗,看门狗
287,备用,备用,看门狗,看门狗
288,主机、从机、塔基版本不一致,PLC软件版本不匹配,1.检查主、从、塔基PLC程序版本是否匹配。,版本检查
289,变桨版本号错误,变桨变频器软件版本存在问题,1.检查变桨变频器软件版本是否与PLC匹配。,版本检查
290,偏航版本号错误,偏航软件版本与程序定义版本不一致,"1.检查偏航变频器程序是否与PLC匹配。
2.联系相关技术负责人，告知偏航程序版本号及PLC程序版本号。",版本检查
291,该版本程序不适用于本风场,该版本程序不适用于本风场,1.检查该版本程序使用限定某个风场使用。,版本检查
292,该版本程序使用期限已过,该版本程序使用期限已过,1.检查该版本程序使用使用期限。,版本检查
293,备用,备用,,
294,电网电压低,当电网电压低时，产生故障代码,"1.检查电网电压是否确实低。
2.检查电网电压测量回路是否有问题。",电网
295,电网电压高,当电网电压高时，产生故障代码,"1.检查电网电压是否确实高。
2.检查电网电压测量回路是否有问题。",电网
296,电网频率低,PLC检测到变频器传回的电网频率低于47.5Hz超过1s,"1.检查电网频率是否正常。
2.检查电网频率低故障限值及延时时间设置是否正常。",电网
297,电网频率高,PLC检测到变频器传回的电网频率高于52.5Hz超过1s,"1.检查电网频率是否正常。
2.检查电网频率高故障限值及延时时间设置是否正常。",电网
298,电网频率持续低,当电网频率持续在地位运行超过30分钟，产生故障代码,"1.检查电网电压是否确实低。
2.检查电网电压测量回路是否有问题。",电网
299,备用,备用,,
300,备用,备用,,
301,备用,备用,,
302,备用,备用,,
303,备用,备用,,
304,风速风向仪测量错误,当从PLC接收到风速风向仪测量错误信号时，产生故障代码,"1.检查程序中风速仪选型是否正确。
2.检查风速风向仪供电及反馈信号回路是否正常。
3.升级PLC程序。
4.检查thies风速仪风速风向仪参数配置是否正确（参数MA－03 DM－01 PC－00  TT－02  OR－100，修改完参数上电前需将风速仪外接的1、4号线短接）。
5.检查thies风速仪AA、AB、AC这三个参数如果为00003，则需要改为00000（风速仪说明书中有介绍），否则可能会出现风速时有时无的问题。
6.检查测风回路浪涌保护器是否正常。
7.检查风速仪回路RS485转换模块及模块拨码是否正常（ABB机组）
8.机械式风速仪检查反馈信号是否在4-20mA范围内。
9.更换风速仪。",风速风向仪
305,风速风向仪通讯错误,当从PLC检测到风速风向仪通讯错误时，产生故障代码,参考Err305,风速风向仪
306,连续9小时无风,当从PLC检测到连续无风时间超过9小时时，产生故障代码,"1.ABBPLC机组重启从站PLC。
2.检查PLC模块至风速仪间的通讯线路。
3.检查风速仪转换模块。
4.升级PLC程序。
5.检查thies风速仪参数配置。
6.更换风速仪。",风速风向仪
307,风速风向仪失效,当从PLC检测到风向仪测量错误时间超过限定值时，产生故障代码,风速风向仪,风速风向仪
308,备用,备用,,
309,备用,备用,,
310,备用,备用,,
311,备用,备用,,
312,备用,备用,,
313,备用,备用,,
314,备用,备用,,
315,备用,备用,,
316,备用,备用,,
317,备用,备用,,
318,备用,备用,,
319,备用,备用,,
