故障代码,故障解释,故障原因,解决方案,故障属性,故障类型
679,电池在备用或充电时电压低,电池状态在S5-refresh或S6-standby状态下，电压低于345V超过10min,"1.检查电池回路线路是否松动。
2.检查电池电压测量回路电阻及线路是否正常。
3.检查电池实际电压是否正常。",bachmann PLC故障,
680,预留,,,bachmann PLC故障,
681,有功消耗超过30KW,功率低于-30KW超过1min,"1.检查变频器端子上电网电流测量互感器接线顺序。
2.检查发电机转速ConSpe信号，如信号失真，有短时跳跃，则为发电机编码问题引起。需检查编码器固定、联轴器固定及编码器测量回路是否正常。
3.更换编码器。
4.天元电机使用的小编码器存在问题，建议更换为永济电机使用的莱纳林德编码器。",bachmann PLC故障,
682,变压器HV1 PT100断线或损坏,功率低于-30KW超过1min,"1.检查变频器端子上电网电流测量互感器接线顺序。
2.检查发电机转速ConSpe信号，如信号失真，有短时跳跃，则为发电机编码问题引起。需检查编码器固定、联轴器固定及编码器测量回路是否正常。
3.更换编码器。
4.天元电机使用的小编码器存在问题，建议更换为永济电机使用的莱纳林德编码器。",bachmann PLC故障,
683,变压器HV2 PT100断线或损坏,功率低于-30KW超过1min,"1.检查变频器端子上电网电流测量互感器接线顺序。
2.检查发电机转速ConSpe信号，如信号失真，有短时跳跃，则为发电机编码问题引起。需检查编码器固定、联轴器固定及编码器测量回路是否正常。
3.更换编码器。
4.天元电机使用的小编码器存在问题，建议更换为永济电机使用的莱纳林德编码器。",bachmann PLC故障,
684,变压器HV3 PT100断线或损坏,功率低于-30KW超过1min,"1.检查变频器端子上电网电流测量互感器接线顺序。
2.检查发电机转速ConSpe信号，如信号失真，有短时跳跃，则为发电机编码问题引起。需检查编码器固定、联轴器固定及编码器测量回路是否正常。
3.更换编码器。
4.天元电机使用的小编码器存在问题，建议更换为永济电机使用的莱纳林德编码器。",bachmann PLC故障,
685,水泵断路器断开,水泵断路器反馈信号丢失,"1.检查水泵断路器是否断开；
2.检查水泵断路器反馈回路是否正常。",bachmann PLC故障,
686,预留,,,bachmann PLC故障,
687,变桨刹车230V保险,变桨刹车空开反馈信号丢失,"1.检查变桨电机刹车空开是否跳开，信号反馈是否正常。
2.检查变桨电机制动线路回路，电缆是否固定好，是否甩断接地或短路。
3.检查变桨柜内接触器-K21.3、-K31.3、-K41.3线圈阻值是否正常。",bachmann PLC故障,
688,预留,,,bachmann PLC故障,
689,预留,,,bachmann PLC故障,
690,预留,,,bachmann PLC故障,
691,发电机碳刷,碳刷监控信号触发,"1.检查碳刷是否磨损严重导致监控信号触发，若是，必须更换碳刷；
2.检查碳刷监控反馈信号回路是否松动。",bachmann PLC故障,
692,预留,,,bachmann PLC故障,
693,预留,,,bachmann PLC故障,
694,预留,,,bachmann PLC故障,
695,预留,,,bachmann PLC故障,
696,预留,,,bachmann PLC故障,
697,预留,,,bachmann PLC故障,
698,预留,,,bachmann PLC故障,
699,预留,,,bachmann PLC故障,
700,压力释放开关/ 箱变断路器跳闸,碳刷监控信号触发,"1.检查碳刷是否磨损严重导致监控信号触发，若是，必须更换碳刷；
2.检查碳刷监控反馈信号回路是否松动。",bachmann PLC故障,
701,油温跳闸报警,碳刷监控信号触发,"1.检查碳刷是否磨损严重导致监控信号触发，若是，必须更换碳刷；
2.检查碳刷监控反馈信号回路是否松动。",bachmann PLC故障,
702,箱变重瓦斯,碳刷监控信号触发,"1.检查碳刷是否磨损严重导致监控信号触发，若是，必须更换碳刷；
2.检查碳刷监控反馈信号回路是否松动。",bachmann PLC故障,
703,箱变低压侧开关断开,碳刷监控信号触发,"1.检查碳刷是否磨损严重导致监控信号触发，若是，必须更换碳刷；
2.检查碳刷监控反馈信号回路是否松动。",bachmann PLC故障,
704,预留,,,bachmann PLC故障,
705,预留,,,bachmann PLC故障,
706,预留,,,bachmann PLC故障,
707,预留,,,bachmann PLC故障,
708,预留,,,bachmann PLC故障,
709,预留,,,bachmann PLC故障,
710,预留,,,bachmann PLC故障,
711,预留,,,bachmann PLC故障,
712,预留,,,bachmann PLC故障,
713,预留,,,bachmann PLC故障,
714,自检复位刹车片40S未打开,碳刷监控信号触发,"1.检查碳刷是否磨损严重导致监控信号触发，若是，必须更换碳刷；
2.检查碳刷监控反馈信号回路是否松动。",bachmann PLC故障,
715,在自检子状态8中安全链断开时叶片没有顺桨,碳刷监控信号触发,"1.检查碳刷是否磨损严重导致监控信号触发，若是，必须更换碳刷；
2.检查碳刷监控反馈信号回路是否松动。",bachmann PLC故障,
716,自检时发电机未停转,机组自检刹车关闭时，发电机转速不为零,"1.检查编码器固定是否正常；
2.检查自检时机械刹车是否能够完全制动；
3.检查编码器外接电缆屏蔽线接地电阻是否小于0.3欧（PM1000机组）；
4.检查编码器外壳对地电阻，正常为无穷大；
5.检查编码器至变频器间通讯线及插头是否松动或工作异常；
6.检查变频器测速版是否正常。
7.检查发电机编码器及固定是否有问题，天元电机早期使用的小编码器安装工艺有问题，建议更换为永济电机使用的大编码器（莱纳林德厂家）。",bachmann PLC故障,
717,自检时crowbar状态,机组在S10设置状态下，Crowbar测试反馈错误,"1.检查crowbar到电机侧变频器的通讯光纤是否损坏（如：出现严重压痕等）；
2.检查Crowbar单元线路是否松动；
3.更换Crowbar控制器。",bachmann PLC故障,
718,自检时变频器未就绪,自检时，变桨变频器母线电压与电池电压差值错误,"1.检查变桨子故障；
2.检查主电源断电时，电池电压是否波动很大。",bachmann PLC故障,
719,自检时变桨未达指定位置,自检时，在限定的时间内变桨没有到指定位置,"1.检查变桨扭矩是否正常；
2.检查是否有变桨子故障；
3.使用手动变桨操作盒变桨，检查是否正常。",bachmann PLC故障,
720,自检时安全链开启叶片未复位,.6和.7传感器的位置装反；传感器长度与制动器不匹配,"1.检查制动器传感器安装位置是否正确（正确的为长杆在中间，图纸代号为S222.6；短杆在旁边且有附件杆，图纸代号为S222.7）。
2.bachmann简版机组程序问题，更新PLC程序到C14.143 20120427之后版。
3.更换传感器或制动器",bachmann PLC故障,
721,自检时刹车未关闭,自检安全链断开时，刹车闭合反馈信号错误超过2s,"1.检查制动器传感器安装位置是否正确（正确的为长杆在中间，图纸代号为S222.6；短杆在旁边且有附件杆，图纸代号为S222.7）。
2.检查刹车传感器反馈信号是否正常；
3.检查刹车动作是否正常；
4.bachmann简版机组程序问题，更新PLC程序到C14.143 20120427之后版。
5.更换传感器或制动器",bachmann PLC故障,
722,预留,,,bachmann PLC故障,
723,自检时发电机转速关系,自检时发电机转速异常,"1.检查发电机编码器固定是否正常；
2.检查风速仪测风是否正常；
3.检查叶轮锁是否被锁上；
4.检查齿轮箱是否正常。",bachmann PLC故障,
724,自检叶片未顺桨（电池电量低）,自检电网掉电10s后，变桨状态不等于HubStaSafCha或HubStaSafOk_或HubStaNo_Bat,"1.检查变桨SwiOffTor参数值是否在4000≤SwiOffTor≤4500。
2.检查蓄电池电量是否正常。",bachmann PLC故障,
725,自检电池未发现脱网,自检电网掉电10s后，电池状态不等于BatStaGri,"1.检查变桨电源控制接触器K210.2控制回路、反馈回路是否正常；
",bachmann PLC故障,
726,自检叶片摩擦过高,自检时，变桨扭矩大于50Nm,"1.检查变桨扭矩是否正常
2.使用手动变桨操作盒变桨，检查是否正常。
3.变桨轴承增加变桨润滑油。",bachmann PLC故障,
727,电池全部放电接触器故障,电池放电保护接触器K210.5错误,"1.检查K210.5控制及反馈信号是否正常；
2.如果PLC不输出控制信号控制K210.5吸合，且检查接触器下端并无接地、短路等问题，断电重新上电后能吸合，但不定时的还跳开，则建议检查电池柜内蓄电池，检查是否有烧焦痕迹或某组电池电压较低。",bachmann PLC故障,
728,电池测试接触器故障,PLC接收到电池测试反馈信号异常超过500ms，输出测试信号时无反馈或未输出测试信号时接收到反馈,"1.检查电池测试接触器K212.2反馈线路是否正常；
2.检查电池测试接触器K212.2控制回路是否正常；
3.检查电池测试接触器K212.2是否正常。",bachmann PLC故障,
729,电池400V接触器1,PLC接收到电池充电反馈信号异常超过500ms，电池状态显示快充时，充电接触器1无反馈，或电池未显示快充时，充电接触器1有反馈。,"1.检查电池测试接触器K212.4反馈线路是否正常；
2.检查电池测试接触器K212.4控制回路是否正常；
3.检查电池测试接触器K212.4是否正常；
4.bachmann机组检查DIO280模块85号端口24Vdc电源接线是否正常。",bachmann PLC故障,
730,电池400V接触器2,PLC接收到电池充电反馈信号异常超过500ms，电池状态显示快充时，充电接触器2无反馈，或电池未显示快充时，充电接触器2有反馈。,"1.检查电池测试接触器K212.6反馈线路是否正常；
2.检查电池测试接触器K212.6控制回路是否正常；
3.检查电池测试接触器K212.6是否正常；
4.bachmann机组检查DIO280模块85号端口24Vdc电源接线是否正常。",bachmann PLC故障,
731,直流500V接触器未闭合,变桨电源控制接触器K210.2反馈错误,"1.检查变桨电源控制接触器K210.2控制回路、反馈回路是否正常；
",bachmann PLC故障,
732,预留,,,bachmann PLC故障,
733,预留,,,bachmann PLC故障,
734,滤波板温度,滤波板温度大于100度,"1.检查水循环，包括水阀是否畅通，排气是否彻底，水压是否正常。
2.如果水循环没有问题，检查滤波板中1欧姆电阻排布是否分散。
3.检查PT100测温是否与实际温度一致。
4.更换滤波板。",bachmann PLC故障,
735,自动加热器熔断器,PLC检测到F134.6空开反馈信号错误,1.检查F136.6空开及反馈信号是否正常。,bachmann PLC故障,
736,预留,,,bachmann PLC故障,
737,刹车泵接触器,PLC检测到刹车泵接触器状态错误超过500ms，刹车泵启动信号给出时接触器没有反馈，或刹车泵启动信号未给出时接触器有反馈。,"1.检查刹车泵接触器反馈回路是否有问题。
2.检查刹车泵接触器控制回路是否有问题。
3.检查刹车泵接触器是否正常。",bachmann PLC故障,
738,预留,,,bachmann PLC故障,
739,预留,,,bachmann PLC故障,
740,预留,,,bachmann PLC故障,
741,变频器扼流电路温度,网侧电抗温度大于155度,"1.检查PT100测温与实际温度是否相符。
2.检查PT100测温回路是否松动。
3.如果温度确实高，检查NCC320柜内风扇及水冷循环是否正常。",bachmann PLC故障,
742,预留,,,bachmann PLC故障,
743,水泵接触器,PLC检测到水泵接触器状态错误超过500ms，水泵启动信号给出时接触器没有反馈，或水泵启动信号未给出时接触器有反馈。,"1.检查水泵接触器反馈回路是否有问题。
2.检查水泵接触器控制回路是否有问题。
3.检查水泵接触器是否正常。",bachmann PLC故障,
744,齿轮箱低速风扇接触器,PLC检测到水泵接触器状态错误超过500ms，水泵启动信号给出时接触器没有反馈，或水泵启动信号未给出时接触器有反馈。,"1.检查水泵接触器反馈回路是否有问题。
2.检查水泵接触器控制回路是否有问题。
3.检查水泵接触器是否正常。",bachmann PLC故障,
745,齿轮箱高速风扇接触器反馈故障,PLC检测到水泵接触器状态错误超过500ms，水泵启动信号给出时接触器没有反馈，或水泵启动信号未给出时接触器有反馈。,"1.检查水泵接触器反馈回路是否有问题。
2.检查水泵接触器控制回路是否有问题。
3.检查水泵接触器是否正常。",bachmann PLC故障,
746,变速箱低速泵接触器,PLC检测到齿轮箱低速泵接触器状态错误超过500ms，低速泵启动信号给出时接触器没有反馈，或启动信号未给出时接触器有反馈。,"1.检查齿轮箱低速泵接触器反馈回路是否有问题。
2.检查齿轮箱低速泵接触器控制回路是否有问题。
3.检查齿轮箱低速泵接触器是否正常。",bachmann PLC故障,
747,变速箱冷却泵接触器,PLC检测到齿轮箱高速泵接触器状态错误超过500ms，高速泵启动信号给出时接触器没有反馈，或启动信号未给出时接触器有反馈。,"1.检查齿轮箱高速泵接触器反馈回路是否有问题。
2.检查齿轮箱高速泵接触器控制回路是否有问题。
3.检查齿轮箱高速泵接触器是否正常。",bachmann PLC故障,
748,驱动侧塔筒加速传感器,驱动侧振动传感器反馈的加速度交流分量值超限,"1.检查驱动侧振动传感器5V电源是否正常。
2.检查驱动侧振动传感器外接线路及浪涌是否正常。
3.检查实际振动是否较大，若是，检查叶片零位、发电机固定、齿轮箱是否正常。
4.检查是否为干扰引起，若是，检查传感器外接线缆屏蔽是否正常。
5.更换驱动侧振动传感器。
6.更新PLC程序。",bachmann PLC故障,
749,非驱动侧塔筒加速传感器,非驱动侧振动传感器反馈的加速度交流分量值超限,"1.检查非驱动侧振动传感器5V电源是否正常。
2.检查非驱动侧振动传感器外接线路及浪涌是否正常。
3.检查实际振动是否较大，若是，检查叶片零位、发电机固定、齿轮箱是否正常。
4.检查是否为干扰引起，若是，检查传感器外接线缆屏蔽是否正常。
5.更换非驱动侧振动传感器。
6.更新PLC程序。",bachmann PLC故障,
750,预留,,,bachmann PLC故障,
751,预留,,,bachmann PLC故障,
752,预留,,,bachmann PLC故障,
753,驱动链摇摆,系统检测到机组驱动链晃动大,"1.检查发电机转速信号是否波动。
2.检查发电机编码器固定及外接线路是否正常。
3.检查发电机编码器在外接线缆断开时，外壳对地是否绝缘。",bachmann PLC故障,
754,驱动侧塔筒位移（由塔筒加速传感器计算）,PLC检测到驱动端振动传感器位移超过限制值,"1.检查驱动侧振动传感器5V电源是否正常。
2.检查驱动侧振动传感器外接线路及浪涌是否正常。
3.检查实际振动是否较大，若是，检查叶片零位、发电机固定、齿轮箱是否正常。
4.检查是否为干扰引起，若是，检查传感器外接线缆屏蔽是否正常。
5.更换驱动侧振动传感器。
6.更新PLC程序。",bachmann PLC故障,
755,非驱动侧塔筒位移（由塔筒加速传感器计算）,PLC检测到非驱动端振动传感器位移超过限制值,"1.检查非驱动侧振动传感器5V电源是否正常。
2.检查非驱动侧振动传感器外接线路及浪涌是否正常。
3.检查实际振动是否较大，若是，检查叶片零位、发电机固定、齿轮箱是否正常。
4.检查是否为干扰引起，若是，检查传感器外接线缆屏蔽是否正常。
5.更换非驱动侧振动传感器。
6.更新PLC程序。",bachmann PLC故障,
756,变速箱压力传感器,齿轮箱压力传感器测得压力≤-1bar,"1.检查压力传感器在程序中选项是否正确。
2.检查压力传感器外接线路是否松动。
3.检查压力传感器电源是否正常。
4.如果为数字量压力传感器，启动油泵时检查传感器显示屏显示与机组控制面板显示是否一致。
5.更换压力传感器。",bachmann PLC故障,
757,驱动侧加速传感器（直流部分）,PLC检测到驱动端振动传感器加速度直流分量超过限制值,"1.检查驱动侧振动传感器5V电源是否正常。
2.检查驱动侧振动传感器外接线路及浪涌是否正常。
3.检查实际振动是否较大，若是，检查叶片零位、发电机固定、齿轮箱是否正常。
4.检查是否为干扰引起，若是，检查传感器外接线缆屏蔽是否正常。
5.更换驱动侧振动传感器。
6.更新PLC程序。",bachmann PLC故障,
758,非驱动侧加速传感器（直流部分）,PLC检测到非驱动端振动传感器加速度直流分量超过限制值,"1.检查非驱动侧振动传感器5V电源是否正常。
2.检查非驱动侧振动传感器外接线路及浪涌是否正常。
3.检查实际振动是否较大，若是，检查叶片零位、发电机固定、齿轮箱是否正常。
4.检查是否为干扰引起，若是，检查传感器外接线缆屏蔽是否正常。
5.更换非驱动侧振动传感器。
6.更新PLC程序。",bachmann PLC故障,
759,600秒内机舱3个摇摆告警,PLC检测到振动传感器信号超过限制值,"1.检查驱动、非驱动侧振动传感器5V电源是否正常。
2.检查驱动、非驱动侧振动传感器外接线路及浪涌是否正常。
3.检查实际振动是否较大，若是，检查叶片零位、发电机固定、齿轮箱是否正常。
4.检查是否为干扰引起，若是，检查传感器外接线缆屏蔽是否正常。
5.更换驱动、非驱动侧振动传感器。
6.更新PLC程序。
7.调整偏航大齿圈侧面轴承螺栓力矩",bachmann PLC故障,
760,定子电流1分钟均值过高,1分钟定子电流值滤波值超过1487A,"1.更新PLC程序。
2.PM1000变频器及PM3000变频器未低穿技改机组，重新写读变频器参数。
3.更换变频器或变频器控制板。",bachmann PLC故障,
761,总电流1分钟均值过高,1分钟定子电流值滤波值超过1487A,"1.更新PLC程序。
2.PM1000变频器及PM3000变频器未低穿技改机组，重新写读变频器参数。
3.更换变频器或变频器控制板。",bachmann PLC故障,
762,预留,,,bachmann PLC故障,
763,电网功率10分钟均值过高,10分钟滤波功率大于1580kw,"1.更新PLC程序。
2.PM1000变频器及PM3000变频器未低穿技改机组，重新写读变频器参数。
3.更换变频器或变频器控制板。",bachmann PLC故障,
764,电网功率1分钟均值过高,1分钟滤波功率大于1600kw,"1.更新PLC程序。
2.PM1000变频器及PM3000变频器未低穿技改机组，重新写读变频器参数。
3.更换变频器或变频器控制板。",bachmann PLC故障,
765,电网功率10秒钟均值过高,10秒钟滤波功率大于1680kw,"1.更新PLC程序。
2.PM1000变频器及PM3000变频器未低穿技改机组，重新写读变频器参数。
3.更换变频器或变频器控制板。",bachmann PLC故障,
766,电网功率实际值过高,10秒钟滤波功率大于1680kw,"1.更新PLC程序。
2.PM1000变频器及PM3000变频器未低穿技改机组，重新写读变频器参数。
3.更换变频器或变频器控制板。",bachmann PLC故障,
767,预留,,,bachmann PLC故障,
768,预留,,,bachmann PLC故障,
769,预留,,,bachmann PLC故障,
770,预留,,,bachmann PLC故障,
771,预留,,,bachmann PLC故障,
772,预留,,,bachmann PLC故障,
773,预留,,,bachmann PLC故障,
774,预留,,,bachmann PLC故障,
775,预留,,,bachmann PLC故障,
776,预留,,,bachmann PLC故障,
777,预留,,,bachmann PLC故障,
778,预留,,,bachmann PLC故障,
779,预留,,,bachmann PLC故障,
780,预留,,,bachmann PLC故障,
781,预留,,,bachmann PLC故障,
782,预留,,,bachmann PLC故障,
783,预留,,,bachmann PLC故障,
784,预留,,,bachmann PLC故障,
785,预留,,,bachmann PLC故障,
786,预留,,,bachmann PLC故障,
787,预留,,,bachmann PLC故障,
788,预留,,,bachmann PLC故障,
789,预留,,,bachmann PLC故障,
790,预留,,,bachmann PLC故障,
791,预留,,,bachmann PLC故障,
792,预留,,,bachmann PLC故障,
793,预留,,,bachmann PLC故障,
794,预留,,,bachmann PLC故障,
795,预留,,,bachmann PLC故障,
796,预留,,,bachmann PLC故障,
797,预留,,,bachmann PLC故障,
798,预留,,,bachmann PLC故障,
799,预留,,,bachmann PLC故障,
800,三相电网电压不平衡,三相电网电压不平衡,"1.检查三相电网电压是否平衡（如有变频器子故障，参考子故障）。
2.如果电网电压有一到两相显示400V，检查8A保险是否正常；如果三相都是0V，检查8A及低压侧690V断路器是否正常；如果三相电压不平衡度不一致，检查业主高压侧35KV跌落保险是否正常。
3.检查实际电流是否也不平衡，若不平衡，首先检查并网开关是否正常，若正常，在箱变侧更换箱变—机组的3相690VAC电缆接线顺序（将原先A-L1、B-L2、C-L3的顺序变更为A-L2、B-L3、C-L1的顺序），如果异常电流变成另一相，则问题出在箱变那边。
",bachmann PLC故障,
801,三相电网电流不平衡,三相电网电流不平衡,"1.检查定子断路器/接触器是否正常，导通性是否良好。
2.检查箱变高压侧跌落保险是否正常。
3.检查箱变高低压侧电缆连接是否正常。
4.箱变侧更换箱变—机组的3相690VAC电缆接线顺序（将原先A-L1/B-L2/C-L3的顺序变更为A-L2/B-L3/C-L1的顺序），如果异常电流变成另一相，则问题出在箱变侧。",bachmann PLC故障,
802, 电网电压低于138V持续625ms后报Error802,,,bachmann PLC故障,
803,电网电压高于793V持续1s后报Error803,,,bachmann PLC故障,
804,  电网频率低于47.5Hz持续1s后报Error804,,,bachmann PLC故障,
805,  电网频率高于52.5Hz持续1s后报Error805,,,bachmann PLC故障,
806,变频器参数读写结果不一致会报Error806,,,bachmann PLC故障,
807,  故障电流高于150A持续200ms后报Error807,,,bachmann PLC故障,
808,预留,,,bachmann PLC故障,
809,预留,,,bachmann PLC故障,
810,预留,,,bachmann PLC故障,
811,预留,,,bachmann PLC故障,
812,未达到额定偏航速度,偏航速度低或偏航方向与给定方向不一致；偏航程序版本或偏航变频器问题,"1.检查偏航传感器是否正常。
2.检查偏航传感器内部编码器至PLC模块的接线及脉冲反馈是否正常。
3.检查偏航功率是否过高，如果大于12kw，建议重调偏航力矩来减小偏航功率。
4.检查偏航电机转向是否正常，服务模式下控制面板左转时，实际是否左转且机舱角度也递减。
5.如果是Vacon偏航变频器机组，可能是偏航变频器程序问题，更新偏航变频器程序可解决。
6.如果偏航变频器温度静止时为0，但一偏航就快速变到-1500度，更换偏航变频器。
",bachmann PLC故障,
813,偏航运动时机舱位置未改变,偏航时机舱角度无变化超过4s,"1.检查偏航传感器内部的编码器及接线。
2.检查偏航传感器内部编码器电源及反馈是否正常。",bachmann PLC故障,
814,机舱位置变化量过小,机舱位置变化小于给定的60%,"1.检查偏航传感器线路。
2.检查偏航时角度反馈是否正常。
3.检查偏航电机工作是否正常。
4.更换偏航传感器或传感器内部编码器。
5.如果雷击引起，可能凸轮内编码器损坏，检查更换编码器，并尽快做好防雷技改和零地分离技改。                                                                                  ",bachmann PLC故障,
815,停机过程机舱位置改变,未偏航时，系统检测到机舱角度变化,"1.MGM偏航电机正上方（外壳顶部）螺丝没有去除，导致偏航电机刹车一直处于打开状态。将MGM偏航电机上方螺丝去除即可。
2.检查偏航电机刹车供电控制继电器K118.8触点是否一直处于导通状态，正常为偏航时线圈得电触点闭合、不偏航时线圈失电触点断开。
3.检查凸轮开关固定及内部编码器固定是否松动。
4.如果以上原因都排除，可能是接收凸轮编码器的plc或模块问题。",bachmann PLC故障,
816,偏航供电断路器断开,PLC模块检测到偏航变频器空开反馈信号丢失,"1.检查偏航变频器空开F118.2是否断开。
2.检查偏航变频器空开F118.2反馈信号至PLC是否松动。",bachmann PLC故障,
817,偏航变频器通讯故障,偏航变频器与PLC间CAN中断超过2s,"1.检查偏航变频器与PLC模块间通讯线路是否有正常。
2.ABB机组检查从站PLC CAN通讯配置是否正常。
3.如果运行过程中频繁报此故障，且需给偏航变频器断电才能复位，可能偏航变频器的通讯板问题。",bachmann PLC故障,
818,偏航控制装置终端开关断开,偏航变频器与PLC间CAN中断超过2s,"1.检查偏航变频器与PLC模块间通讯线路是否有正常。
2.ABB机组检查从站PLC CAN通讯配置是否正常。
3.如果运行过程中频繁报此故障，且需给偏航变频器断电才能复位，可能偏航变频器的通讯板问题。",bachmann PLC故障,
819,发生偏航变频器故障,偏航变频器检测到错误,1.检查偏航变频器子故障，参考偏航子故障处理手册。,bachmann PLC故障,
820,偏航刹车断路器断开,0,"1.检查偏航刹车空开F122.2是否跳开。
2.检查偏航刹车空开F122.2反馈触点至PLC模块IYawBraFus端口线路是否有问题。",bachmann PLC故障,
821,偏航变频器与伺服盒连接,系统检测到偏航操作盒连接,"1.检查手动操作盒是否连接到偏航系统。
2.检查偏航系统手动操作盒检测回路是否有问题。",bachmann PLC故障,
822,到达变桨位置超时,系统检测到偏航操作盒连接,"1.检查手动操作盒是否连接到偏航系统。
2.检查偏航系统手动操作盒检测回路是否有问题。",bachmann PLC故障,
823,偏航控制装置反馈信号与实际偏航位置不符,机舱角度小于-900且左右位置显示“右”/ 机舱角度大于900且左右位置显示“左”，超时10s,"1.检查凸轮左右极限位置开关、解缆保护开关是否正常，调节位置是否有很大误差。
2.检查凸轮开关左右极限位置开关是否接反。
3.检查电缆是否扭曲很大，若是需要偏航到电缆完全垂直后重新调节凸轮。
4.如果KEB偏航变频器16号端口（ST）无24V反馈，此时将无法偏航。
5.在电缆完全垂直状态重新调整凸轮，如果角度显示负数，调节4号凸轮环正好触发按钮，使面板显示机舱位置为“左”，然后向右偏航直到机舱位置变为“右”，此时角度就能自动变到±30度范围内；反之，调节4号凸轮环使其正好不触发按钮，使面板显示机舱位置为“右”，然后向左偏航直到机舱位置变为“左”，此时角度就能自动变到±30度范围内。",bachmann PLC故障,
824,运行中偏航功率低于故障限值,偏航功率低,1.调整偏航螺栓力矩，夏天4-6kw；冬天6-8kw。                                                                          ,bachmann PLC故障,
835,No power converter detected, , ,bachmann PLC故障,
1023,机组部件类型未选择,PLC检测到机组器件类型选择不全,1.检查机组叶片、发电机、变桨减速比、风速仪等部件类型是否设置完毕。,bachmann PLC故障,部件选型
1535,风机参数未读写, ,,bachmann PLC故障,
