故障代码,故障解释,故障原因,解决方案,SYJX（故障属性）,故障类型
164,电池温度PT100传感器,环境温度小于0度时，电池柜温度小于-50度或大于250度,1.检查电池柜温度传感器线路是否松动。2.检查电池柜PT100是否损坏。,ABB.Pro程序PLC故障,
165,电池温度过低,环境温度小于0度时，电池柜温度小于-15度,1.检查电池柜内加热器功能是否正常（正常为低于15度加热，高于20度停止加热），如加热器损坏，更换加热器。2.检查电池柜内加热器控制回路是否正常（如K257.7)。3.检查电池柜温度传感器线路是否松动。4.检查电池柜PT100是否损坏。5.按照技改方案，增加电池柜内加热器。,ABB.Pro程序PLC故障,
166,预留,,,ABB.Pro程序PLC故障,
167,standby和refresh状态电池电压过低,电池状态在S5-refresh或S6-standby状态下，电压低于345V超过10min,1.检查电池回路线路是否松动。2.检查电池电压测量回路电阻及线路是否正常。3.检查电池实际电压是否正常。,ABB.Pro程序PLC故障,
168,偏航变频器服务盒连接,系统检测到偏航操作盒连接,1.检查手动操作盒是否连接到偏航系统。2.检查偏航系统手动操作盒检测回路是否有问题。,ABB.Pro程序PLC故障,
169,功率消耗 > 30 KW,功率低于-30KW超过1min,1.检查变频器端子上电网电流测量互感器接线顺序。2.检查发电机转速ConSpe信号，如信号失真，有短时跳跃，则为发电机编码问题引起。需检查编码器固定、联轴器固定及编码器测量回路是否正常。3.更换编码器。4.天元电机使用的小编码器存在问题，建议更换为永济电机使用的莱纳林德编码器。,ABB.Pro程序PLC故障,
170,偏航变频器没有连接到CAN总线上,偏航变频器与PLC间CAN中断超过2s,1.检查偏航变频器与PLC模块间通讯线路是否有正常。2.ABB机组检查从站PLC CAN通讯配置是否正常。3.如果运行过程中频繁报此故障，且需给偏航变频器断电才能复位，可能偏航变频器的通讯板问题。,ABB.Pro程序PLC故障,
171,偏航时机舱位置无变化,偏航时机舱角度无变化超过4s,1.检查偏航传感器内部的编码器及接线。2.检查偏航传感器内部编码器电源及反馈是否正常。,ABB.Pro程序PLC故障,
172,偏航刹车230V保险,PLC检测不到F122.2空开反馈,1.检查偏航刹车空开F122.2是否跳开。2.检查偏航刹车空开F122.2反馈触点至PLC模块IYawBraFus端口线路是否有问题。,ABB.Pro程序PLC故障,
173,水泵断路器,水泵断路器反馈信号丢失,1.检查水泵断路器是否断开；2.检查水泵断路器反馈回路是否正常。,ABB.Pro程序PLC故障,
174,变频柜入水口水压阀断路器,水阀断路器反馈信号丢失,1.检查水阀断路器是否断开；2.检查水阀断路器反馈回路是否正常。,ABB.Pro程序PLC故障,
175,变桨刹车230V保险,变桨刹车空开反馈信号丢失,1.检查变桨电机刹车空开是否跳开，信号反馈是否正常。2.检查变桨电机制动线路回路，电缆是否固定好，是否甩断接地或短路。3.检查变桨柜内接触器-K21.3、-K31.3、-K41.3线圈阻值是否正常。,ABB.Pro程序PLC故障,
176,预留,,,ABB.Pro程序PLC故障,
177,预留,,,ABB.Pro程序PLC故障,
178,变频器CAN数据复用器不工作,变频器与PLC之间CAN通讯问题,1.检查变频器与PLC之间CAN通讯是否正常；2.检查变频子故障，根据子故障进一步处理。,ABB.Pro程序PLC故障,
179,碳刷监测:iBruMon输入口连续2天为低,碳刷监控信号触发,1.检查碳刷是否磨损严重导致监控信号触发，若是，必须更换碳刷；2.检查碳刷监控反馈信号回路是否松动。,ABB.Pro程序PLC故障,
180,FT - 风速仪测量错误,FT风速仪测量错误（风速小于20m/s延时10min，反之延时2min）,1.检查FT风速仪供电、接线是否正常；2.检查FT风速仪程序版本号是否正确；3.更换FT风速仪。,ABB.Pro程序PLC故障,
181,预留,,,ABB.Pro程序PLC故障,
182,预留,,,ABB.Pro程序PLC故障,
183,预留,,,ABB.Pro程序PLC故障,
184,预留,,,ABB.Pro程序PLC故障,
185,预留,,,ABB.Pro程序PLC故障,
186,预留,,,ABB.Pro程序PLC故障,
187,预留,,,ABB.Pro程序PLC故障,
188,预留,,,ABB.Pro程序PLC故障,
189,预留,,,ABB.Pro程序PLC故障,
190,预留,,,ABB.Pro程序PLC故障,
191,预留,,,ABB.Pro程序PLC故障,
192,预留,,,ABB.Pro程序PLC故障,
193,预留,,,ABB.Pro程序PLC故障,
194,预留,,,ABB.Pro程序PLC故障,
195,预留,,,ABB.Pro程序PLC故障,
196,预留,,,ABB.Pro程序PLC故障,
197,预留,,,ABB.Pro程序PLC故障,
198,预留,,,ABB.Pro程序PLC故障,
199,预留,,,ABB.Pro程序PLC故障,
200,预留,,,ABB.Pro程序PLC故障,
201,预留,,,ABB.Pro程序PLC故障,
202,预留,,,ABB.Pro程序PLC故障,
203,预留,,,ABB.Pro程序PLC故障,
204,自检:刹车时发电机转速,机组自检刹车关闭时，发电机转速不为零,1.检查编码器固定是否正常；2.检查自检时机械刹车是否能够完全制动；3.检查编码器外接电缆屏蔽线接地电阻是否小于0.3欧（PM1000机组）；4.检查编码器外壳对地电阻，正常为无穷大；5.检查编码器至变频器间通讯线及插头是否松动或工作异常；6.检查变频器测速版是否正常。7.检查发电机编码器及固定是否有问题，天元电机早期使用的小编码器安装工艺有问题，建议更换为永济电机使用的大编码器（莱纳林德厂家）。,ABB.Pro程序PLC故障,
205,自检:变频器Crowbar,机组在S10设置状态下，Crowbar测试反馈错误,1.检查crowbar到电机侧变频器的通讯光纤是否损坏（如：出现严重压痕等）；2.检查Crowbar单元线路是否松动；3.更换Crowbar控制器。,ABB.Pro程序PLC故障,
206,自检:变桨直流母线电压和电池电压的差异,自检时，变桨变频器母线电压与电池电压差值错误,1.检查变桨子故障；2.检查主电源断电时，电池电压是否波动很大。,ABB.Pro程序PLC故障,
207,自检:变桨运行到指定位置超时,自检时，在限定的时间内变桨没有到指定位置,1.检查变桨扭矩是否正常；2.检查是否有变桨子故障；3.使用手动变桨操作盒变桨，检查是否正常。,ABB.Pro程序PLC故障,
208,自检:打开安全链时桨叶未收回,自检安全链断开时，桨叶状态不为safety chain stopping或safety chain stopped,1.检查动作时间是否正常，如果刹车制动时间很慢，检查刹车液压油是否有问题，如是否用错液压油，把齿轮油当液压油使用。2.检查制动器传感器安装位置是否正确（正确的为长杆在中间，图纸代号为S222.6；短杆在旁边且有附件杆，图纸代号为S222.7）。3.bachmann简版机组程序问题，更新PLC程序到C14.143 20120427之后版。4.更换传感器或制动器,ABB.Pro程序PLC故障,
209,自检:刹车未闭合,自检安全链断开时，刹车闭合反馈信号错误超过2s,1.检查制动器传感器安装位置是否正确（正确的为长杆在中间，图纸代号为S222.6；短杆在旁边且有附件杆，图纸代号为S222.7）。2.检查刹车传感器反馈信号是否正常；3.检查刹车动作是否正常；4.bachmann简版机组程序问题，更新PLC程序到C14.143 20120427之后版。5.更换传感器或制动器,ABB.Pro程序PLC故障,
210,预留,,,ABB.Pro程序PLC故障,
211,自检:风速仪不准确,自检时发电机转速异常,1.检查发电机编码器固定是否正常；2.检查风速仪测风是否正常；3.检查叶轮锁是否被锁上；4.检查齿轮箱是否正常。,ABB.Pro程序PLC故障,
212,自检:桨叶未依靠电池收回,自检电网掉电10s后，变桨状态不等于HubStaSafCha或HubStaSafOk_或HubStaNo_Bat,1.检查变桨SwiOffTor参数值是否在4000≤SwiOffTor≤4500。2.检查蓄电池电量是否正常。,ABB.Pro程序PLC故障,
213,自检:电池未检测到电网掉电,自检电网掉电10s后，电池状态不等于BatStaGri,1.检查变桨电源控制接触器K210.2控制回路、反馈回路是否正常；,ABB.Pro程序PLC故障,
214,自检:轴承摩擦过高,自检时，变桨扭矩大于50Nm,1.检查变桨扭矩是否正常2.使用手动变桨操作盒变桨，检查是否正常。3.变桨轴承增加变桨润滑油。,ABB.Pro程序PLC故障,
215,UPS电池完全放电接触器,电池放电保护接触器K210.5错误,1.检查K210.5控制及反馈信号是否正常；2.如果PLC不输出控制信号控制K210.5吸合，且检查接触器下端并无接地、短路等问题，断电重新上电后能吸合，但不定时的还跳开，则建议检查电池柜内蓄电池，检查是否有烧焦痕迹或某组电池电压较低。,ABB.Pro程序PLC故障,
216,UPS电池测试接触器,PLC接收到电池测试反馈信号异常超过500ms，输出测试信号时无反馈或未输出测试信号时接收到反馈,1.检查电池测试接触器K212.2反馈线路是否正常；2.检查电池测试接触器K212.2控制回路是否正常；3.检查电池测试接触器K212.2是否正常。,ABB.Pro程序PLC故障,
217,UPS电池400V接触器1,PLC接收到电池充电反馈信号异常超过500ms，电池状态显示快充时，充电接触器1无反馈，或电池未显示快充时，充电接触器1有反馈。,1.检查电池测试接触器K212.4反馈线路是否正常；2.检查电池测试接触器K212.4控制回路是否正常；3.检查电池测试接触器K212.4是否正常；4.bachmann机组检查DIO280模块85号端口24Vdc电源接线是否正常。,ABB.Pro程序PLC故障,
218,UPS电池400V接触器2,PLC接收到电池充电反馈信号异常超过500ms，电池状态显示快充时，充电接触器2无反馈，或电池未显示快充时，充电接触器2有反馈。,1.检查电池测试接触器K212.6反馈线路是否正常；2.检查电池测试接触器K212.6控制回路是否正常；3.检查电池测试接触器K212.6是否正常；4.bachmann机组检查DIO280模块85号端口24Vdc电源接线是否正常。,ABB.Pro程序PLC故障,
219,500V直流电源接触器没关闭,变桨电源控制接触器K210.2反馈错误,1.检查变桨电源控制接触器K210.2控制回路、反馈回路是否正常；,ABB.Pro程序PLC故障,
220,柜子风扇保险,PLC检测到ICabFanFus反馈信号错误,1.ABB机组检查F134.2空开反馈信号是否正常；2.bachmann机组检查F215.1空开反馈信号是否正常。,ABB.Pro程序PLC故障,
221,接口继电器230V电源保险,主PLC检测到F136.2断开,1.检查F134.6空开及反馈信号是否正常。,ABB.Pro程序PLC故障,
222,滤波板温度,滤波板温度大于100度,1.检查水循环，包括水阀是否畅通，排气是否彻底，水压是否正常。2.如果水循环没有问题，检查滤波板中1欧姆电阻排布是否分散。3.检查PT100测温是否与实际温度一致。4.更换滤波板。,ABB.Pro程序PLC故障,
223,自动温控加热器保险,PLC检测到F134.6空开反馈信号错误,1.检查F136.6空开及反馈信号是否正常。,ABB.Pro程序PLC故障,
224,偏航变频器错误,偏航变频器检测到错误,1.检查偏航变频器子故障，参考偏航子故障处理手册。,ABB.Pro程序PLC故障,
225,刹车泵接触器,PLC检测到刹车泵接触器状态错误超过500ms，刹车泵启动信号给出时接触器没有反馈，或刹车泵启动信号未给出时接触器有反馈。,1.检查刹车泵接触器反馈回路是否有问题。2.检查刹车泵接触器控制回路是否有问题。3.检查刹车泵接触器是否正常。,ABB.Pro程序PLC故障,
226,塔基通讯故障,主PLC与塔基PLC通讯错误超过200ms,1.如果与Err233故障同时产生，可能问题出在主PLC，检查主PLC及通讯是否正常（如：IP地址、网线连接等）。2.如果与Err233故障同时产生，可以重启主PLC或给主PLC断电。3.检查塔基PLC供电是否正常。4.检查机舱到塔基的光纤是否正常，正常的光纤能够传输光线。5.检查塔基PLCIP地址是否正常。,ABB.Pro程序PLC故障,
227,预留,,,ABB.Pro程序PLC故障,
228,预留,,,ABB.Pro程序PLC故障,
229,变频器滤波器温度,网侧电抗温度大于155度,1.检查PT100测温与实际温度是否相符。2.检查PT100测温回路是否松动。3.如果温度确实高，检查NCC320柜内风扇及水冷循环是否正常。,ABB.Pro程序PLC故障,
230,齿轮箱风扇接触器,PLC检测到油冷风扇接触器状态错误超过500ms，油冷风扇启动信号给出时接触器没有反馈，或油冷风扇启动信号未给出时接触器有反馈。,1.检查油冷风扇接触器反馈回路是否有问题。2.检查油冷风扇接触器控制回路是否有问题。3.检查油冷风扇接触器是否正常。,ABB.Pro程序PLC故障,
231,水泵接触器,PLC检测到水泵接触器状态错误超过500ms，水泵启动信号给出时接触器没有反馈，或水泵启动信号未给出时接触器有反馈。,1.检查水泵接触器反馈回路是否有问题。2.检查水泵接触器控制回路是否有问题。3.检查水泵接触器是否正常。4.如果为国通变频器增加230VAC交流UPS机组，检查T134.6 UPS工作是否稳定。检查中间继电器中作是否稳定。,ABB.Pro程序PLC故障,
232,从站PLC检测到从站通讯错误,从站PLC自身检测到通讯错误,1.断电或重启从站PLC。2.如果从站PLC的FK1、FK2、FK3指示灯亮，断电或重启后不管用，更换PLC。3.检查从站PLC供电及PLC至交换机之间的网线连接是否正常。4.重新设定从站PLC的IP地址。5.更换从站PLC。,ABB.Pro程序PLC故障,
233,主站PLC检测到从站通讯错误,主站PLC检测到从站PLC错误超过200ms,1.如果与Err226故障同时产生，可能问题出在主PLC，检查主PLC及通讯是否正常（如：IP地址、网线连接等）。2.重启主PLC或给主PLC断电。3.检查从站PLC供电是否正常。4.检查从站PLC IP地址是否正常。5.检查从站PLC到交换机之间的网线是否正常。,ABB.Pro程序PLC故障,
234,齿轮箱低速泵接触器,PLC检测到齿轮箱低速泵接触器状态错误超过500ms，低速泵启动信号给出时接触器没有反馈，或启动信号未给出时接触器有反馈。,1.检查齿轮箱低速泵接触器反馈回路是否有问题。2.检查齿轮箱低速泵接触器控制回路是否有问题。3.检查齿轮箱低速泵接触器是否正常。,ABB.Pro程序PLC故障,
235,齿轮箱高速泵接触器,PLC检测到齿轮箱高速泵接触器状态错误超过500ms，高速泵启动信号给出时接触器没有反馈，或启动信号未给出时接触器有反馈。,1.检查齿轮箱高速泵接触器反馈回路是否有问题。2.检查齿轮箱高速泵接触器控制回路是否有问题。3.检查齿轮箱高速泵接触器是否正常。,ABB.Pro程序PLC故障,
236,AC驱动侧加速度传感器,驱动侧振动传感器反馈的加速度交流分量值超限,1.检查驱动侧振动传感器5V电源是否正常。2.检查驱动侧振动传感器外接线路及浪涌是否正常。3.检查实际振动是否较大，若是，检查叶片零位、发电机固定、齿轮箱是否正常。4.检查是否为干扰引起，若是，检查传感器外接线缆屏蔽是否正常。5.更换驱动侧振动传感器。6.更新PLC程序。,ABB.Pro程序PLC故障,
237,AC非驱动侧加速度传感器,非驱动侧振动传感器反馈的加速度交流分量值超限,1.检查非驱动侧振动传感器5V电源是否正常。2.检查非驱动侧振动传感器外接线路及浪涌是否正常。3.检查实际振动是否较大，若是，检查叶片零位、发电机固定、齿轮箱是否正常。4.检查是否为干扰引起，若是，检查传感器外接线缆屏蔽是否正常。5.更换非驱动侧振动传感器。6.更新PLC程序。,ABB.Pro程序PLC故障,
238,22kV 接地故障,非驱动侧振动传感器反馈的加速度交流分量值超限,1.检查非驱动侧振动传感器5V电源是否正常。2.检查非驱动侧振动传感器外接线路及浪涌是否正常。3.检查实际振动是否较大，若是，检查叶片零位、发电机固定、齿轮箱是否正常。4.检查是否为干扰引起，若是，检查传感器外接线缆屏蔽是否正常。5.更换非驱动侧振动传感器。6.更新PLC程序。,ABB.Pro程序PLC故障,
239,690V接地故障,非驱动侧振动传感器反馈的加速度交流分量值超限,1.检查非驱动侧振动传感器5V电源是否正常。2.检查非驱动侧振动传感器外接线路及浪涌是否正常。3.检查实际振动是否较大，若是，检查叶片零位、发电机固定、齿轮箱是否正常。4.检查是否为干扰引起，若是，检查传感器外接线缆屏蔽是否正常。5.更换非驱动侧振动传感器。6.更新PLC程序。,ABB.Pro程序PLC故障,
240,机舱烟雾传感器,烟雾传感器信号触发,1.检查烟雾传感器是否触发。2.检查烟雾传感器供电及外接线是否正常。,ABB.Pro程序PLC故障,
241,驱动链晃动,系统检测到机组驱动链晃动大,1.检查发电机转速信号是否波动。2.检查发电机编码器固定及外接线路是否正常。3.检查发电机编码器在外接线缆断开时，外壳对地是否绝缘。,ABB.Pro程序PLC故障,
242,塔筒驱动侧移动,PLC检测到驱动端振动传感器位移超过限制值,1.检查驱动侧振动传感器5V电源是否正常。2.检查驱动侧振动传感器外接线路及浪涌是否正常。3.检查实际振动是否较大，若是，检查叶片零位、发电机固定、齿轮箱是否正常。4.检查是否为干扰引起，若是，检查传感器外接线缆屏蔽是否正常。5.更换驱动侧振动传感器。6.更新PLC程序。,ABB.Pro程序PLC故障,
243,塔筒非驱动侧移动,PLC检测到非驱动端振动传感器位移超过限制值,1.检查非驱动侧振动传感器5V电源是否正常。2.检查非驱动侧振动传感器外接线路及浪涌是否正常。3.检查实际振动是否较大，若是，检查叶片零位、发电机固定、齿轮箱是否正常。4.检查是否为干扰引起，若是，检查传感器外接线缆屏蔽是否正常。5.更换非驱动侧振动传感器。6.更新PLC程序。,ABB.Pro程序PLC故障,
244,齿轮箱压力传感器,齿轮箱压力传感器测得压力≤-1bar,1.检查压力传感器在程序中选项是否正确。2.检查压力传感器外接线路是否松动。3.检查压力传感器电源是否正常。4.如果为数字量压力传感器，启动油泵时检查传感器显示屏显示与机组控制面板显示是否一致。5.更换压力传感器。,ABB.Pro程序PLC故障,
245,DC驱动侧加速度传感器,PLC检测到驱动端振动传感器加速度直流分量超过限制值,1.检查驱动侧振动传感器5V电源是否正常。2.检查驱动侧振动传感器外接线路及浪涌是否正常。3.检查实际振动是否较大，若是，检查叶片零位、发电机固定、齿轮箱是否正常。4.检查是否为干扰引起，若是，检查传感器外接线缆屏蔽是否正常。5.更换驱动侧振动传感器。6.更新PLC程序。,ABB.Pro程序PLC故障,
246,DC非驱动侧加速度传感器,PLC检测到非驱动端振动传感器加速度直流分量超过限制值,1.检查非驱动侧振动传感器5V电源是否正常。2.检查非驱动侧振动传感器外接线路及浪涌是否正常。3.检查实际振动是否较大，若是，检查叶片零位、发电机固定、齿轮箱是否正常。4.检查是否为干扰引起，若是，检查传感器外接线缆屏蔽是否正常。5.更换非驱动侧振动传感器。6.更新PLC程序。,ABB.Pro程序PLC故障,
247,1000秒内机舱晃动警告3次,PLC检测到振动传感器信号超过限制值,1.检查驱动、非驱动侧振动传感器5V电源是否正常。2.检查驱动、非驱动侧振动传感器外接线路及浪涌是否正常。3.检查实际振动是否较大，若是，检查叶片零位、发电机固定、齿轮箱是否正常。4.检查是否为干扰引起，若是，检查传感器外接线缆屏蔽是否正常。5.更换驱动、非驱动侧振动传感器。6.更新PLC程序。7.调整偏航大齿圈侧面轴承螺栓力矩,ABB.Pro程序PLC故障,
248,1分钟定子电流值过高,1分钟定子电流值滤波值超过1487A,1.更新PLC程序。2.PM1000变频器及PM3000变频器未低穿技改机组，重新写读变频器参数。3.更换变频器或变频器控制板。,ABB.Pro程序PLC故障,
249,1分钟总电流值过高,1分钟定子电流值滤波值超过1487A,1.更新PLC程序。2.PM1000变频器及PM3000变频器未低穿技改机组，重新写读变频器参数。3.更换变频器或变频器控制板。,ABB.Pro程序PLC故障,
250,偏航定位系统-左/右位被转换,机舱角度小于-900且左右位置显示“右”/ 机舱角度大于900且左右位置显示“左”，超时10s,1.检查凸轮左右极限位置开关、解缆保护开关是否正常，调节位置是否有很大误差。2.检查凸轮开关左右极限位置开关是否接反。3.检查电缆是否扭曲很大，若是需要偏航到电缆完全垂直后重新调节凸轮。4.如果KEB偏航变频器16号端口（ST）无24V反馈，此时将无法偏航。5.在电缆完全垂直状态重新调整凸轮，如果角度显示负数，调节4号凸轮环正好触发按钮，使面板显示机舱位置为“左”，然后向右偏航直到机舱位置变为“右”，此时角度就能自动变到±30度范围内；反之，调节4号凸轮环使其正好不触发按钮，使面板显示机舱位置为“右”，然后向左偏航直到机舱位置变为“左”，此时角度就能自动变到±30度范围内。,ABB.Pro程序PLC故障,
251,10分钟电网功率过高,10分钟滤波功率大于1580kw,1.更新PLC程序。2.PM1000变频器及PM3000变频器未低穿技改机组，重新写读变频器参数。3.更换变频器或变频器控制板。,ABB.Pro程序PLC故障,
252,1分钟电网功率过高,1分钟滤波功率大于1600kw,1.更新PLC程序。2.PM1000变频器及PM3000变频器未低穿技改机组，重新写读变频器参数。3.更换变频器或变频器控制板。,ABB.Pro程序PLC故障,
253,10秒电网功率过高,10秒钟滤波功率大于1680kw,1.更新PLC程序。2.PM1000变频器及PM3000变频器未低穿技改机组，重新写读变频器参数。3.更换变频器或变频器控制板。,ABB.Pro程序PLC故障,
254,偏航时偏航变频器功率低于错误值,偏航功率低,1.调整偏航螺栓力矩，夏天4-6kw；冬天6-8kw。,ABB.Pro程序PLC故障,
255,塔基烟雾传感器,,,ABB.Pro程序PLC故障,
