故障代码,故障描述/现象,故障原因,解决方案
800,,三相电网电压不平衡,"1.检查三相电网电压是否平衡（如有变频器子故障，参考子故障）。
2.如果电网电压有一到两相显示400V，检查8A保险是否正常；如果三相都是0V，检查8A及低压侧690V断路器是否正常；如果三相电压不平衡度不一致，检查业主高压侧35KV跌落保险是否正常。
3.检查实际电流是否也不平衡，若不平衡，首先检查并网开关是否正常，若正常，在箱变侧更换箱变—机组的3相690VAC电缆接线顺序（将原先A-L1、B-L2、C-L3的顺序变更为A-L2、B-L3、C-L1的顺序），如果异常电流变成另一相，则问题出在箱变那边。
"
801,,三相电网电流不平衡,"1.检查定子断路器/接触器是否正常，导通性是否良好。
2.检查箱变高压侧跌落保险是否正常。
3.检查箱变高低压侧电缆连接是否正常。
4.箱变侧更换箱变—机组的3相690VAC电缆接线顺序（将原先A-L1/B-L2/C-L3的顺序变更为A-L2/B-L3/C-L1的顺序），如果异常电流变成另一相，则问题出在箱变侧。"
812,偏航未达到额定速度,偏航速度低或偏航方向与给定方向不一致；偏航程序版本或偏航变频器问题,"1.检查偏航传感器是否正常。
2.检查偏航传感器内部编码器至PLC模块的接线及脉冲反馈是否正常。
3.检查偏航功率是否过高，如果大于12kw，建议重调偏航力矩来减小偏航功率。
4.检查偏航电机转向是否正常，服务模式下控制面板左转时，实际是否左转且机舱角度也递减。
5.如果是Vacon偏航变频器机组，可能是偏航变频器程序问题，更新偏航变频器程序可解决。
6.如果偏航变频器温度静止时为0，但一偏航就快速变到-1500度，更换偏航变频器。
"
813,偏航时机舱位置无变化,偏航时机舱角度无变化超过4s,"1.检查偏航传感器内部的编码器及接线。
2.检查偏航传感器内部编码器电源及反馈是否正常。"
814,机舱位置变化太小,机舱位置变化小于给定的60%,"1.检查偏航传感器线路。
2.检查偏航时角度反馈是否正常。
3.检查偏航电机工作是否正常。
4.更换偏航传感器或传感器内部编码器。
5.如果雷击引起，可能凸轮内编码器损坏，检查更换编码器，并尽快做好防雷技改和零地分离技改。                                                                                  "
815,偏航停止状态下机舱位置变化,未偏航时，系统检测到机舱角度变化,"1.MGM偏航电机正上方（外壳顶部）螺丝没有去除，导致偏航电机刹车一直处于打开状态。将MGM偏航电机上方螺丝去除即可。
2.检查偏航电机刹车供电控制继电器K118.8触点是否一直处于导通状态，正常为偏航时线圈得电触点闭合、不偏航时线圈失电触点断开。
3.检查凸轮开关固定及内部编码器固定是否松动。
4.如果以上原因都排除，可能是接收凸轮编码器的plc或模块问题。"
816,偏航变频器保险丝,PLC模块检测到偏航变频器空开反馈信号丢失,"1.检查偏航变频器空开F118.2是否断开。
2.检查偏航变频器空开F118.2反馈信号至PLC是否松动。"
817,偏航变频器没有连接到CAN总线上,偏航变频器与PLC间CAN中断超过2s,"1.检查偏航变频器与PLC模块间通讯线路是否有正常。
2.ABB机组检查从站PLC CAN通讯配置是否正常。
3.如果运行过程中频繁报此故障，且需给偏航变频器断电才能复位，可能偏航变频器的通讯板问题。"
819,偏航变频器错误,偏航变频器检测到错误,1.检查偏航变频器子故障，参考偏航子故障处理手册。
820,偏航刹车230V保险,,"1.检查偏航刹车空开F122.2是否跳开。
2.检查偏航刹车空开F122.2反馈触点至PLC模块IYawBraFus端口线路是否有问题。"
821,偏航变频器服务盒连接,系统检测到偏航操作盒连接,"1.检查手动操作盒是否连接到偏航系统。
2.检查偏航系统手动操作盒检测回路是否有问题。"
823,偏航定位系统-左/右位被转换，偏航零位丢失,机舱角度小于-900且左右位置显示“右”/ 机舱角度大于900且左右位置显示“左”，超时10s,"1.检查凸轮左右极限位置开关、解缆保护开关是否正常，调节位置是否有很大误差。
2.检查凸轮开关左右极限位置开关是否接反。
3.检查电缆是否扭曲很大，若是需要偏航到电缆完全垂直后重新调节凸轮。
4.如果KEB偏航变频器16号端口（ST）无24V反馈，此时将无法偏航。
5.在电缆完全垂直状态重新调整凸轮，如果角度显示负数，调节4号凸轮环正好触发按钮，使面板显示机舱位置为“左”，然后向右偏航直到机舱位置变为“右”，此时角度就能自动变到±30度范围内；反之，调节4号凸轮环使其正好不触发按钮，使面板显示机舱位置为“右”，然后向左偏航直到机舱位置变为“左”，此时角度就能自动变到±30度范围内。"
824,偏航超时,偏航状态大于7状态，偏航时间超过30min,"1.检查偏航传感器线路。
2.检查偏航左右极限位置是否在偏航角度小于600度时触发，若是，建议重调凸轮（调时电缆必须完全垂直），或者暂时在服务模式下往另一方向偏航180度以上。                                                        3.更换偏航传感器                                                                                "
824,偏航时偏航变频器功率低于限制值,偏航功率低,1.调整偏航螺栓力矩，夏天4-6kw；冬天6-8kw。                                                                          
536541,690V/350A保险烧坏1-2个,由于水冷滤波板散热不好，导致滤波板上一部分电阻烧坏,1.更换水冷滤波板及其电阻，换电阻时务必要涂上导热硅脂，固定螺丝一定要拧紧
536671,"并网后不久变频器状态跳到S60,之后又跳到同步检测状态，然后报159或24号故障",发电机编码器问题，但看不出转速异常,1.更换发电机编码器
 ,数字量模块不在总线,PLC检测到数字量模块CS31-Bus通讯故障。,"1.检查数字量模块IDigLiv端口供电是否正常。
2.检查数字量模块供电是否正常。
3.检查PLC A240.3-X5端口至数字量模块X1端口线路是否正常。"
 ,模拟量模块不在总线,PLC检测到模拟量模块CS31-Bus通讯故障。,"1.检查模拟量模块供电是否正常。
2.检查数字量模块X1端口至模拟量模块X1端口线路是否正常。"
 ,接地故障保护信号切断,故障电流小于-10A,"1.检查NCC310-A240.3-EW6.07/FaiCur)至故障电流互感器NCC300-T170.6之间的线路是否正常。
2.检查故障电流互感器是否损坏（正常情况有4-20mA直流电流输出）。"
 ,FT-风速仪测量错误,FT风速仪测量错误（风速小于20m/s延时10min，反之延时2min）,"1.检查FT风速仪供电、接线是否正常；
2.检查FT风速仪程序版本号是否正确；
3.更换FT风速仪。"
,,,
,机组参数信息配置故障,机组参数信息未配置,1.检查机组叶片、发电机、变桨减速机、风速仪等参数信息是否配置。
,PLC软件版本错误,PLC软件版本不匹配,1.检查主、从、塔基PLC程序版本是否匹配。
,变频器软件版本或电网频率超过限制值,变频器软件版本或电网频率问题,"1.检查变频器软件版本
2.检查电网频率是否正常
3.检查电网频率限值设置是否正常
4.检查机舱PLC通讯"
,安全链无法复位，PLC主站E62.09指示灯不亮,电气元件损坏（浪涌保护器）/线路松动,"1.检查滑环上-X4通道6线路上的电线连接及线路上的所有浪涌保护器
2.检查X4插头上6点线路是否松动，7点是否正常接地                  "
,PLC主站EA63.06指示灯不闪烁,电气元件损坏,"1.检查-A293.2上线路连接，包括24V供电及与PLC的通讯线。                                    2.检查-A293.2上通讯光纤是否有光信号，正常有一个口有光。
3.检查变频器上电源板指示灯是否正常、变频器供电电源是否正常。 
4.如果IGBT温度上升很快，检查水冷系统是否正常。                          "
,运行中突然报此一堆故障,定子接触器24V控制线圈回路过流，导致线圈对地电阻只有10Ω,"1.检查变频器是否损坏（电源板、IGBT）。
2.检查浪涌保护器F238.7及F238.2是否接地。
3.检查安全链回路F230.6（2A保险）是否正常。
4.检查350A保险、8A报销。
5.检查crowbar电阻R312.6.1（3个绿色管式电阻）。
6.检查ABB定子接触器。"
,接地故障保护（低/高限值）,,"1.检查NCC300柜内母排电网电流互感器接线是否松动。        2.更换变频器后插头没插好或变频器损坏。
3.电机转子绕组接地，发电机损坏。
4.检查T170.6的24V供电及反馈到A240.3PLC的线路；
5.检查定子接触器。"
,风速仪测量错误,风速显示为0m/s或时有时无,"1.检查程序中风速仪选型是否正确。
2.检查风速风向仪供电及反馈信号回路是否正常。
3.升级PLC程序。
4.检查thies风速仪风速风向仪参数配置是否正确（参数MA－03 DM－01 PC－00  TT－02  OR－100，修改完参数上电前需将风速仪外接的1、4号线短接）。
5.检查thies风速仪AA、AB、AC这三个参数如果为00003，则需要改为00000（风速仪说明书中有介绍），否则可能会出现风速时有时无的问题。
6.检查测风回路浪涌保护器是否正常。
7.检查风速仪回路RS485转换模块及模块拨码是否正常（ABB机组）
8.机械式风速仪检查反馈信号是否在4-20mA范围内。
9.更换风速仪。"
,水阀断路器反馈信号错误,水阀断路器反馈信号丢失,"1.检查水阀断路器是否断开；
2.检查水阀断路器反馈回路是否正常。"
,塔基通讯故障,主PLC与塔基PLC通讯错误超过200ms,"1.如果与Err233故障同时产生，可能问题出在主PLC，检查主PLC及通讯是否正常（如：IP地址、网线连接等）。
2.如果与Err233故障同时产生，可以重启主PLC或给主PLC断电。
3.检查塔基PLC供电是否正常。
4.检查机舱到塔基的光纤是否正常，正常的光纤能够传输光线。
5.检查塔基PLCIP地址是否正常。"
,从站PLC检测到从站通讯错误,从站PLC自身检测到通讯错误,"1.断电或重启从站PLC。
2.如果从站PLC的FK1、FK2、FK3指示灯亮，断电或重启后不管用，更换PLC。
3.检查从站PLC供电及PLC至交换机之间的网线连接是否正常。
4.重新设定从站PLC的IP地址。
5.更换从站PLC。"
,主站PLC检测到从站通讯错误,主站PLC检测到从站PLC错误超过200ms,"1.如果与Err226故障同时产生，可能问题出在主PLC，检查主PLC及通讯是否正常（如：IP地址、网线连接等）。
2.重启主PLC或给主PLC断电。
3.检查从站PLC供电是否正常。
4.检查从站PLC IP地址是否正常。
5.检查从站PLC到交换机之间的网线是否正常。"
,机舱烟雾传感器,烟雾传感器信号触发,"1.检查烟雾传感器是否触发。
2.检查烟雾传感器供电及外接线是否正常。"
,急停一复位，两个PLC就死机,①F238.2的3号端子接地     ②风速仪7、8号线接反,寻找F238.2、F238.4回路是否存在接地点
,塔基24V/1A保险烧坏,plc电源接口正负间电阻为300欧左右，正常为无穷大，接上线后为1.2K欧左右,更换plc
,电网长时间停电再送电后，塔基无法启动（交换机等指示灯狂闪），断开其中任何一路24VDC输出，就能正常启动,后期机组的塔基UPS在完全放电后再送电时，UPS无法带动负载，导致其输出电压保持在0-5Vdc,方案1：手动断开其中任何一路24VDC后，再送上；     方案2：更换Rinck UPS到KW21.2010以后或2009以前生产的
,大风天气，齿轮油温不高，桨叶停止在-1度，但功率只有100kw左右，,安全链中Err18故障被短接，程序中变桨减速机减速比选错,校正程序中变桨减速比，去除故障短接点
,bachmann控制面板无通信，PLC程序不能启动，一直显示连接状态，PLC模块err灯亮。cfc0文件及程序都能传进去。但PLC程序不能启动。重新登录PLC显示内存卡上没有程序。,NCC310柜内CM202模块灯不亮，模块坏。,更换CM202模块。
,PM3000W技改后Crowbar测试及预充电都没反应,线路接错或Crowbar光纤接反,"1.检查网侧接触器辅助触点接线是否正确。
2.检查Crowbar至变频器光纤连接（连接正确时，Crowbar指示灯灭，否则不正确）。"
,PM3000W技改后，变频器启动到同步时塔基断路器跳闸,接线接错,1.检查变频器V308.2 J10端子排上10号端子的线是否断开。
,PM3000W技改后，机组不能满发，最高只能发600多kw,PLC程序问题,"1.更新PLC程序
2.检查系统运行时间是否大于48h。"
,变频器测试到网侧低负荷时8A保险烧坏,滤波回路有接地点,"1.检查滤波回路所有器件、电缆是否正常。
2.测量网侧变频器交流母排对地电阻是否满足要求。
"
,07 KT 型号的ABB PLC 传不进程序,PLC程序兼容问题,1.更新可兼容07 KT 型号PLC的程序。
,电池测试时烧坏测试电阻和充电电阻,电池测试接触器误吸合,1.检查k257.4和k257.5是否存在同时吸合的问题（比如两个继电器的A1口被掉在上头的导线短接），正常情况下不能同时吸合。
,使用ABB程序下载器更新.m程序时，主站PLC无法重启，显示硬件连接超时,主站PLC每个3-5s在不断重启,"1.将PLC右上角Run/Stop按钮拨到Stop模式，使用AC1131更新.Pro程序，完成后再把按钮拨到Run模式。
2.更换PLC。"
,ABB+GT机组，并网后无功功率很大，且有功功率也很大，机组功率因素只有0.5左右,,电流互感器到变频器之间的线缆顺序接反，ABC，接成了ACB。
